Title,Director,Cast,genres,original_language,overview,popularity,release_date,runtime,title,vote_average,emotion_mood,genre_mood,final_mood
Jayeshbhai Jordaar,Divyang Thakkar,"Ranveer Singh,Shalini Pandey,Boman Irani,Ratna Pathak","Comedy,Drama",hi,"A non-confrontational Jayesh decides to defy his patriarchal family and flee with his pregnant wife Mudra to save their unborn daughter from foeticide. A screwball, hilarious chase begins as Jayesh's father assembles all his might to nab them. Will this unlikely hero manage to create a safe and equal haven for his daughter?",7.13,2022.0,2 hrs 4 min,Jayeshbhai Jordaar,5.9,Happy,Happy,Happy
Bhool Bhulaiyaa 2,Anees Bazmee,"Kartik Aaryan,Kiara Advani","Horror,Comedy",hi,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.",8.781,2022.0,2 hrs 22 min,Bhool Bhulaiyaa 2,6.2,Sad,Horror,Sad
Dhaakad,Razy Ghai,"Kangana Ranaut,Arjun Rampal,Divya Dutta",Action,hi,"Special Agent Agni is tasked to find information and eventually, eliminate Rudraveer, an international human trafficker and a coal mafioso. Things turn personal when Agni discovers a truth that connects her to Rudraveer.",6.605,2022.0,2 hrs 11 min,Dhaakad,5.0,Intense,Intense,Intense
Anek,Anubhav Sinha,Ayushmann Khurrana,"Action,Thriller",hi,"Amid the turmoil in northeast India, an undercover agent tasked with peace negotiations crosses paths with a tenacious boxer fighting for her dreams.",5.415,2022.0,2 hrs 26 min,Anek,6.2,Thrilling,Intense,Intense
Samrat Prithviraj,Chandraprakash Dwivedi,"Akshay Kumar,Sanjay Dutt,Sonu Sood,Manushi Chhillar","Action,Drama,History",hi,"The true story of legendary Hindu warrior king ""Prithviraj Chauhan"" including his early military successes, love story with Sanyogita & clashes with Muhammad of Ghor, a ruler of the Ghurid dynasty who led the foundation of Muslim rule in the Indian subcontinent.",10.579,2022.0,2 hrs 16 min,Samrat Prithviraj,7.2,Happy,Intense,Intense
Janhit Mein Jaari,Jai Basantu Singh,Nushrratt Bharuccha,"Comedy,Drama,Romance",hi,"A small-town girl from MP, Manokamna, gets a decent-paying job. But the work requires her to sell condoms. Will she be able to voice her beliefs while balancing her responsibilities and society?",2.397,2022.0,2 hrs 26 min,Janhit Mein Jaari,6.8,Happy,Happy,Happy
Ardh,Palash Muchhal,"Rajpal Yadav,Rubina Dilaik","Drama,Comedy",hi,"Shiva struggles to become a mainstream actor in Mumbai despite being a theatre actor. With the help of his wife Madhu, he disguises himself as a transgender and begs for money to survive.",1.52,2022.0,1 hrs 24 min,Ardh,8.0,Thrilling,Emotional,Emotional
Nikamma,Sabbir Khan,"Abhimanyu Dassani,Shirley Setia,Shilpa Shetty","Action,Comedy",hi,"Nikamma is an action-comedy, which is a remake of 2017 Telugu film film Middle Class Abbayi.",2.52,2022.0,2 hrs 27 min,Nikamma,3.8,Happy,Intense,Intense
Forensic,Vishal Furia,"Vikrant Massey,Radhika Apte,Prachi Desai,Rohit Roy","Crime,Thriller",hi,Little girls begin to disappear and their bodies are found soon after in the town of Mussoorie. Police officer Megha and forensic officer Johnny join hands to nab the killer.,1.827,2022.0,2 hrs 9 min,Forensic,4.8,Thrilling,Thrilling,Thrilling
Rashtra Kavach Om,Kapil Verma,"Aditya Roy,Sanjana Sanghi","Action,Thriller",hi,"Om, a special forces para commando officer, loses his memory while fighting enemies. After recovering from amnesia, Om is on a mission to save the nation from terrorists. As he fights the challenges the mission presents, he learns a shocking truth about his life.",2.948,2022.0,2 hrs 15 min,Rashtra Kavach Om,5.8,Adventurous,Intense,Adventurous
HIT: The First Case,Shailesh Kolanu,"Rajkummar Rao,Sanya Malhotra","Crime,Mystery,Thriller",hi,"Burdened by old demons, a troubled but brilliant detective sets out to solve two confounding abduction cases — one involving his own girlfriend.",5.834,2022.0,2 hrs 16 min,HIT: The First Case,6.4,Sad,Suspenseful,Sad
Jaadugar,Sameer Saxena,"Jitendra Kumar,Jaaved Jaaferi,Aarushi Sharma","Comedy,Drama,Romance",hi,A small-time magician with zero interest in football must lead his local team to the finals of a tournament if he wishes to marry the love of his life.,3.355,2022.0,2 hrs 47 min,Jaadugar,6.6,Happy,Happy,Happy
Judaa Hoke Bhi,Vikram Bhatt,"Akshay Oberoi,Aindrita Ray,Meherzan Mazda","Horror,Thriller",hi,"Aman Khanna, a once successful singer, is drowning his life into alcohol, despair and self- destruction after his 6 years old son died in a freak accident. Aman's wife, Meera who has an autobiographical bestseller to her credit is trying to cope with their financial burdens and Aman's lack of responsibility.",1.4,2022.0,1 hrs 54 min,Judaa Hoke Bhi,0.0,Sad,Horror,Sad
Shabaash Mithu,Srijit Mukherji,Taapsee Pannu,"Drama,History",hi,"From child prodigy to trailblazing captain, Indian women's cricket icon Mithali Raj navigates highs and lows of professional career. A story of a young girl's determination and stance against discrimination, about her spirit, passion, courage, and her dreams.",4.346,2022.0,2 hrs 36 min,Shabaash Mithu,6.3,Happy,Emotional,Emotional
Shamshera,Karan Malhotra,"Ranbir Kapoor,Sanjay Dutt,Vaani Kapoor","Action,Drama,Adventure",hi,"Set in the 1800s, the film is about a ""dacoit"" tribe who take charge in fight for their rights and independence against the British.",104.945,2022.0,2 hrs 38 min,Shamshera,5.5,Intense,Intense,Intense
Ek Villain Returns,Mohit Suri,"John Abraham,Arjun Kapoor,Disha Patani,Tara Sutaria","Action,Crime,Thriller",hi,"When a singer goes missing amid a serial killing spree, a cabbie and a businessman's son cross paths in a twisted tale where good and evil is blurred.",7.474,2022.0,2 hrs 7 min,Ek Villain Returns,5.3,Thrilling,Intense,Intense
Good Luck Jerry,Sidharth Sengupta,Janhvi Kapoor,"Comedy,Crime,Drama",hi,"In dire need of money, Jerry gets drawn into the dangerous world of drug trafficking. Things go awry when she decides to quit.",2.386,2022.0,1 hrs 58 min,Good Luck Jerry,5.4,Intense,Happy,Intense
Darlings,Jasmeet K Reen,"Alia Bhatt,Shefali Shah,Vijay Varma","Comedy,Crime,Thriller",hi,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.",6.162,2022.0,2 hrs 14 min,Darlings,7.1,Intense,Happy,Intense
Laal Singh Chaddha,Advait Chandan,"Aamir Khan,Kareena Kapoor,Naga Chaitanya,Mona Singh","Drama,Romance",hi,"Events in India's history — from the Emergency and the famous Cricket World Cup win to the Punjab riots — unfold from the perspective of an innocent Sikh man Laal Singh Chaddha, a person with a low IQ but high optimism. Laal is able to achieve everything under the sun but his childhood love continues to elude him.",9.746,2022.0,2 hrs 37 min,Laal Singh Chaddha,6.6,Happy,Emotional,Emotional
Raksha Bandhan,Aanand L. Rai,"Akshay Kumar,Bhumi Pednekar","Comedy,Drama,Family",hi,"Lala Kedarnath is blessed with 4 sisters. But his only worry is to find suitable grooms for each of them, as only then can he marry his childhood love. To what lengths will he go to succeed?",4.704,2022.0,1 hrs 50 min,Raksha Bandhan,7.2,Happy,Happy,Happy
Dobaaraa,Anurag Kashyap,"Taapsee Pannu,Pavail Gulati","Science Fiction,Mystery,Thriller",hi,"In the 1990s, during a wild thunderstorm night, 12-year-old Anay dies in a road accident shortly after he sees his next-door neighbor committing a crime. Twenty-five years later, in a strange turn of events, on an identical stormy night, Antara finds herself in front of a TV set through which she attempts to save Anay’s life but her good deed causes a disturbing chain of unexpected consequences.",4.087,2022.0,2 hrs 15 min,Dobaaraa,5.5,Thrilling,Suspenseful,Suspenseful
Holy Cow,Sai Kabir,"Sanjay Mishra,Tigmanshu Dhulia,Nawazuddin Siddiqui,Sadiya Siddiqui","Comedy,Drama",hi,"The story of how Salim's cow, Ruksar, goes missing and he starts searching for it at night.",1.429,2022.0,0 hrs 0 min,Holy Cow,4.0,Thrilling,Happy,Thrilling
Cuttputlli,Ranjit M Tewari,"Akshay Kumar,Rakul Preet,Chandrachur Singh,Sargun Mehta","Crime,Mystery,Thriller",hi,"When a small town gets plunged into the nightmare of serial killings, rookie cop Arjan embarks on a chase for the truth and unravels a gruesome conspiracy.",4.161,2022.0,2 hrs 14 min,Cuttputlli,6.1,Thrilling,Suspenseful,Suspenseful
Jahaan Chaar Yaar,Kamal Pandey,"Swara Bhasker,Meher Vij,Pooja Chopra,Shikha Talsania","Comedy,Drama",hi,"Four dedicated housewives - Shivangi, Mansi, Neha, and Sakhina, whose lives revolve only around their husband and family, decide to escape the suffocating routine life by traveling to Goa for a few days to live life on their terms. They have no idea that their vacation will lead to a series of life-changing events.",1.028,2022.0,2 hrs 10 min,Jahaan Chaar Yaar,0.0,Happy,Happy,Happy
Matto Ki Saikil,M. Gani,Prakash Jha,"Family,Drama",hi,'Matto Ki Saikal' revolves around the story of a family's struggle to buy a new bicycle and how their lives depend on it.,0.64,2022.0,1 hrs 35 min,Matto Ki Saikil,0.0,Happy,Emotional,Emotional
Middle Class Love,Rantnaa Sinha,"Prit Kamani,Kavya Thapar,Eisha Singh,Manoj Pahwa","Comedy,Drama,Romance",hi,"A young college boy is frustrated being in middle-class family setup and finds love the ideal way to get out of it. However, the path to getting rid of the middle-class thinking and probing parents wasn't so easy as it seemed initially, especially when he thought love would save him.",1.252,2022.0,2 hrs 10 min,Middle Class Love,7.0,Intense,Happy,Intense
Saroj Ka Rishta,Abhishek Saxena,"Sanah Kapur,Kumud Mishra,Gaurav Pandey,Randeep Rai","Drama,Comedy",hi,A Carefree and Confident Girl (Sanah Kapur) of her area who finds Love in Vikram(Randeep Rai).,1.778,2022.0,2 hrs 2 min,Saroj Ka Rishta,0.0,Happy,Emotional,Emotional
Atithi Bhooto Bhava,Hardik Gajjar,"Jackie Shroff,Pratik Gandhi,Sharmin Segal","Comedy,Drama",hi,Srikant's life turns upside down when he bumps into a middle-aged ghost who claims to be his grandson from his previous birth. Things take an even more comical turn when the ghost seeks Srikant's help to meet his long-lost love.,1.951,2022.0,1 hrs 53 min,Atithi Bhooto Bhava,9.0,Adventurous,Happy,Adventurous
Dhokha: Round D Corner,Kookie Gulati,"Aparshakti Khurana,Darshan Kumar,Khushalii Kumar","Crime,Thriller",hi,"When a delusional housewife with a personality disorder is taken hostage by a terrorist on the loose and a husband accused of cheating on his wife have their own versions of reality, how do we know who's saying the truth?",3.238,2022.0,1 hrs 48 min,Dhokha: Round D Corner,5.4,Thrilling,Thrilling,Thrilling
Plan A Plan B,Shashanka Ghosh,"Riteish Deshmukh,Poonam Dhillon,Kusha Kapila","Romance,Comedy",hi,"When an earnest matchmaker moves into an office next to a cynical divorce attorney, their bitter conflict is complicated by a growing attraction.",5.522,2022.0,1 hrs 46 min,Plan A Plan B,6.067,Intense,Romantic,Romantic
Vikram Vedha,Pushkar–Gayathri,"Saif Ali,Hrithik Roshan,Radhika Apte","Action,Crime,Thriller",hi,"Vikram, an honest officer with the Lucknow police, is on a mission to find and eliminate gangster Vedha. However, when Vedha surrenders himself to the police and starts narrating stories to Vikram, it blurs the lines between good and evil. Vedha questions Vikram's righteousness while the latter believes he is fair and just. But is he?",7.533,2022.0,2 hrs 40 min,Vikram Vedha,7.3,Happy,Intense,Intense
Maja Ma,Anand Tiwari,"Madhuri Dixit,Gajraj Rao,Ritwik Bhowmik,Barkha Singh","Comedy,Romance,Drama",hi,A rumour about a housewife famous for her dancing and cooking threatens to disrupt her middle-class family's life on the eve of her son's engagement.,5.976,2022.0,2 hrs 15 min,Maja Ma,5.6,Intense,Happy,Intense
Nazar Andaaz,Vikrant Deshmukh,"Kumud Mishra,Divya Dutta,Abhishek Banerjee","Comedy,Drama",hi,"Sudhir, blind by birth, lives alone with his housemaid Bhavani. While Bhavani is out, he takes in Ali to help around the house. Both Bhavani and Ali grow envious of each other. Nazar Andaaz is a comedic yet heartfelt story of these three.",2.995,2022.0,1 hrs 43 min,Nazar Andaaz,5.5,Intense,Happy,Intense
Doctor G,Anubhuti Kashyap,"Ayushmann Khurrana,Rakul Preet,Shefali Shah","Comedy,Drama",hi,"Uday Gupta, a medical college student wanted to specialise in Orthopaedic, but is stuck in an all-female class of Gynaecology. Will he change his department, or will the department change him?",5.063,2022.0,2 hrs 4 min,Doctor G,6.9,Intense,Happy,Intense
Code Name: Tiranga,Ribhu Dasgupta,"Parineeti Chopra,Harrdy Sandhu,Sharad Kelkar","Action,Thriller",hi,"Tasked with capturing a wanted criminal, a fierce undercover agent wrestles with perilously high stakes when her heart is pulled into the mission.",2.243,2022.0,2 hrs 17 min,Code Name: Tiranga,4.8,Intense,Intense,Intense
Ram Setu,Abhishek Sharma,"Akshay Kumar,Jacqueline Fernandez,Nushrratt Bharuccha,Satya Dev","Action,Adventure,Drama",hi,An atheist archaeologist turned believer must race against time to prove the true existence of the legendary Ram Setu before evil forces destroy the pillar of India’s heritage.,5.135,2022.0,2 hrs 29 min,Ram Setu,5.275,Intense,Intense,Intense
Thank God,Indra Kumar,"Ajay Devgn,Sidharth Malhotra,Rakul Preet",Comedy,hi,"An egoistic real estate broker in huge debts, meets with an accident. As he gains consciousness, he realizes that he is in heaven. God appears before him and informs him that he must play a 'Game of Life'. If he manages to win, he will be sent back to earth; if he loses, he will be sent to hell.",5.553,2022.0,2 hrs 1 min,Thank God,6.9,Thrilling,Happy,Thrilling
Phone Bhoot,Gurmmeet Singh,"Katrina Kaif,Ishaan Khatter,Siddhant Chaturvedi","Horror,Comedy",hi,"Two crazy, jobless, horror-film addicts Major and Gullu, under immense family pressure to find work, hit upon the idea to float a unique ghost-capturing service when they meet a spirit, Ragini, who makes their business a success but in return asks them for a favour which they are compelled to honour.",6.995,2022.0,2 hrs 17 min,Phone Bhoot,5.6,Happy,Horror,Horror
Double XL,Satramm Ramani,"Sonakshi Sinha,Huma Qureshi,Zaheer Iqbal,Mahat Raghavendra","Comedy,Drama",hi,"Rajshri wants to be a sports presenter on TV but is promptly told that she is 'too healthy' for it. Saira, a fashion designer also has hit rock bottom in her life after she is cheated on by her boyfriend. A chance encounter between the two leads them to London to discover themselves and challenge the norms of who's a 'normal woman'.",1.946,2022.0,0 hrs 0 min,Double XL,6.0,Sad,Happy,Sad
Tadka,Prakash Raj,"Nana Patekar,Shriya Saran,Ali Fazal,Taapsee Pannu","Comedy,Drama,Romance",hi,"A middle-aged Tukaram is passionate about food and archaeology but it’s a misplaced call from Madhura that adds the tadka to his life. While love simmers, Nicole and Sidharth’s story spices up too.",3.359,2022.0,1 hrs 55 min,Tadka,7.3,Romantic,Happy,Romantic
Rocket Gang,Bosco Martis,"Aditya Seal,Nikita Dutta","Comedy,Fantasy,Horror,Music",hi,"Five friends take a getaway trip and stay at Wonder Villa. But, the haunted villa's supernatural powers suck them in and their only chance to survive is by dancing.",1.96,2022.0,2 hrs 20 min,Rocket Gang,6.0,Thrilling,Happy,Thrilling
Uunchai,Sooraj Barjatya,"Amitabh Bachchan,Anupam Kher,Boman Irani,Danny Denzongpa,Parineeti Chopra,Neena Gupta","Comedy,Drama,Family",hi,"Amit, Om, Javed and Bhupen - a group of four friends - have come a long way in life. Bhupen had a lifelong dream of going to Mount Everest with his three friends but the idea is quashed immediately as soon as he expresses it to them during a get-together. However, Bhupen's sudden death leads the trio to leave their cozy Delhi lives and trek to Everest Base Camp as friendship was their only motivation.",4.449,2022.0,2 hrs 49 min,Uunchai,6.0,Romantic,Happy,Romantic
"Monica, O My Darling",Vasan Bala,"Rajkummar Rao,Huma Qureshi,Radhika Apte,Sikandar Kher","Crime,Comedy,Drama,Mystery",hi,"A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing — not even death — is what it seems to be.",18.269,2022.0,2 hrs 9 min,"Monica, O My Darling",7.2,Happy,Happy,Happy
Thai Massage,Mangesh Hadawale,"Gajraj Rao,Sunny Hinduja,Rajpal Yadav,Vibha Chibber","Comedy,Drama",hi,"A typical middle-class 70-year-old widower, Atmaram Dubey, who has been celibate for decades, realises he will probably never have sex. This awakening catapults him into an outrageous journey of self-discovery defying societal norms.",3.041,2022.0,2 hrs 0 min,Thai Massage,5.0,Intense,Happy,Intense
Mister Mummy,Shaad Ali,"Riteish Deshmukh,Genelia Deshmukh,Mahesh Manjrekar","Comedy,Drama",hi,"Amol, a cranky PT teacher and his wife Gugloo have opposing choices when it comes to children but destiny has something else planned for the childhood sweethearts.",3.002,2022.0,1 hrs 38 min,Mister Mummy,5.6,Intense,Happy,Intense
Bhediya,Amar Kaushik,"Varun Dhawan,Kriti Sanon","Comedy,Fantasy,Horror",hi,"Inspired by legendary folklore rooted in Arunachal Pradesh, Bhediya tells the story of Bhaskar, a man who gets bitten by a mythical wolf and begins to transform into the creature himself. As Bhaskar and his ragtag buddies try to find answers, he is worried that the monster in him will wipe out human existence in the local town.",14.201,2022.0,2 hrs 36 min,Bhediya,6.7,Thrilling,Happy,Thrilling
Qala,Anvita Dutt,"Tripti Dimri,Swastika Mukherjee,Babil Khan","Drama,Music",hi,"Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.",5.904,2022.0,1 hrs 59 min,Qala,6.7,Sad,Emotional,Sad
An Action Hero,Anirudh Iyer,"Ayushmann Khurrana,Jaideep Ahlawat","Action,Crime,Comedy,Thriller",hi,"At the age of just 30, Maanav at the peak of his acting career gets caught up in a murder accusation, which turns his own life into an eccentric action thriller as he flees the country, with a vengeful politician hot on his heels.",4.626,2022.0,2 hrs 8 min,An Action Hero,6.5,Thrilling,Intense,Intense
Freddy,Shashanka Ghosh,Kartik Aaryan,"Romance,Thriller",hi,"Introverted and awkward Dr. Freddy Ginwala desperately searches for a soulmate. When he finally finds her, the relationship becomes as painful as a root canal.",4.87,2022.0,2 hrs 4 min,Freddy,7.6,Sad,Romantic,Sad
India Lockdown,Madhur Bhandarkar,"Shweta Basu,Aahana Kumra,Prateik Babbar,Sai Tamhankar,Prakash Belawadi","Drama,Adventure",hi,The Indian government announces a country-wide lockdown for 21 days due to the pandemic. India Lockdown encapsulates the story of four out of lakhs of individuals whose lives came to a standstill.,2.416,2022.0,1 hrs 53 min,India Lockdown,6.7,Thrilling,Emotional,Emotional
Salaam Venky,Revathi,Vishal Jethwa,Drama,hi,"Sujata, an ideal mother, who battles the most challenging situations one can ever face with a smile.",4.267,2022.0,2 hrs 11 min,Salaam Venky,7.8,Happy,Emotional,Emotional
Maarrich,Dhruv Lather,"Tusshar Kapoor,Naseeruddin Shah,Rahul Dev,Seerat Kapoor,Anita Hassanandani","Thriller,Crime",hi,"2 brutal murders, 6 suspects and one fearless cop - Rajiv Dixit, a sharp-witted Mumbai police officer , is on a mission to track down the unidentified killer behind these murders.",1.4,2022.0,2 hrs 6 min,Maarrich,10.0,Intense,Thrilling,Intense
Blurr,Ajay Bahl,"Taapsee Pannu,Gulshan Devaiah","Horror,Thriller",hi,"With progressive blindness setting in, Gayatri has to find answers to her twin sister's unlikely death. As the lines of reality keep getting blurred, is she ready to look the truth in the eye?",1.825,2022.0,2 hrs 6 min,Blurr,4.0,Happy,Horror,Horror
Govinda Naam Mera,Shashank Khaitan,"Vicky Kaushal,Kiara Advani,Bhumi Pednekar","Comedy,Drama,Romance",hi,"An abusive wife, a hot girlfriend and a court case, Govinda Waghmare is just not able to catch a break. The icing on top of that horrible cake - a murder.",4.628,2022.0,2 hrs 11 min,Govinda Naam Mera,5.4,Sad,Happy,Sad
Cirkus,Rohit Shetty,"Ranveer Singh,Pooja Hegde,Jacqueline Fernandez,Varun Sharma","Comedy,Drama",hi,"Two sets of identical twins are accidentally separated at birth. Several years later, when they are coincidentally in the same town, there is a lot of confusion and misunderstanding when people mistake them for each other.",5.856,2022.0,2 hrs 20 min,Cirkus,5.2,Thrilling,Happy,Thrilling
Nail Polish,Bugs Bhargava Krishna,"Arjun Rampal,Manav Kaul,Anand Tiwari,Samreen Kaur","Crime,Thriller,Drama",hi,"A high profile defence lawyer is promised a Rajya Sabha seat if he wins a case of an accused with charges of killing two migrant children. However, there's much more than what meets the eye in this courtroom drama that explores the uncertainty of human mind and the journey of criminal discovery.",2.107,2021.0,2 hrs 8 min,Nail Polish,6.4,Thrilling,Thrilling,Thrilling
Ramprasad Ki Tehrvi,Seema Pahwa,"Naseeruddin Shah,Vinay Pathak,Vikrant Massey,Konkona Sen,Vineet Kumar,Manoj Pahwa,Parambrata Chattopadhyay,Supriya Pathak,Deepika Amin,Ninad Kamat","Drama,Family,Comedy",hi,"Ramprasad's entire family gathers under one roof for 13 days after his death, to perform and observe the Hindu traditions and rituals called the tehrvi. During the course, the family’s dynamics, politics, and insecurities come out, and then they realise that the importance of people and things are only evident in retrospect.",2.395,2019.0,1 hrs 46 min,Ramprasad Ki Tehrvi,6.0,Sad,Emotional,Sad
Tribhanga,Renuka Shahane,"Tanvi Azmi,Mithila Palkar,Kunaal Roy,Vaibhav Tatwawaadi,Manav Gohil,Kanwaljit Singh","Drama,Family",hi,"When her estranged mother falls into a coma, a self-made single mom grapples with regret and resentment while reflecting on their strained relationship.",4.576,2021.0,1 hrs 35 min,Tribhanga,7.1,Sad,Emotional,Sad
Jamun,Gaurav Mehra,"Raghubir Yadav,Shweta Basu,Sunny Hinduja,Saurabh Goyal,Krishna Singh,Bijou Thaangjam,Susheel Parashar","Drama,Family",hi,"A father trying to find a groom for his daughter who is squinted. In this process, he is diagnosed with Parkinson s disease. Watch Jamun to find out if he gets his daughter married.",0.671,2021.0,1 hrs 32 min,Jamun,7.0,Thrilling,Emotional,Emotional
Madam Chief Minister,Subhash Kapoor,"Richa Chadda,Manav Kaul,Akshay Oberoi,Saurabh Shukla",Drama,hi,A political-drama where a young woman from a small village rises to power into the world of politics by breaking barriers of caste and patriarchy and overcomes the obstacles placed by her opponents to become the chief minister and work for the upliftment of backward classes.,3.6,2021.0,2 hrs 3 min,Madam Chief Minister,5.8,Happy,Emotional,Emotional
Machaan,Nitesh Tiwari,"Pawan Waval,Richa Kalra,Prateek Goyal,Shubham Srivastav,Mahmood Hashmi,Prem Sagar,Mishti Singh",Drama,hi,"Bhola, a good Samaritan from a small town of Sabalpur, is diagnosed with AIDS. A village man Madhav who is jealous of Bhola's reputation spreads the rumour that AIDS is a deadly contagious disease that happens to immoral people. That propels the villagers to desert Bhola. When Bhola attempts to meet his family, Madhav leads a group of fire-breathing villagers to drive him away from their village, which results in terrifying consequences. Will the villagers ever open their eyes to the truth or will they wallow in their obnoxious blind beliefs?",0.6,2021.0,2 hrs 4 min,Machaan,8.5,Intense,Emotional,Intense
Lahore Confidential,Kunal Kohli,"Richa Chadha,Karishma Tanna,Arunoday Singh","Thriller,Mystery,Drama",hi,"The story revolves around a humble, divorced Indian woman named Ananya and amidst her mundane-routine life, she finds herself on a secret intelligence duty in Pakistan. But her love for Urdu literature will have her falling in love that will eventually put them in a tug of war with each other.",1.058,2021.0,1 hrs 48 min,Lahore Confidential,6.0,Happy,Thrilling,Thrilling
Tank Cleaner,Parvinder Singh Wraich,"Vinamarjot Singh,Money Sabharwal,Mridula Mahajan","Thriller,Drama,Crime",hi,A young orphan boy working as a tank cleaner is trapped in a water tank by someone. He struggles for his life for four days in this tank full of water.,3.089,2021.0,2 hrs 37 min,Tank Cleaner,9.0,Thrilling,Thrilling,Thrilling
Bombay Rose,Gitanjali Rao,"Cyli Khare,Amit Deondi,Anurag Kashyap,Makrand Deshpande","Animation,Drama,Romance",hi,"Amidst the bustle of a magnetic and multifaceted city, the budding love between two dreamers is tested by duty and religious divides.",4.259,2019.0,1 hrs 33 min,Bombay Rose,6.6,Happy,Emotional,Emotional
Time to Dance,Stanley D'Costa,"Sooraj Pancholi,Isabelle Kaif,Waluscha De","Drama,Romance",hi,"When a ballroom dancer’s shot at a crucial tournament is jeopardized, a street dancer must face his own painful past and step up as her new partner.",1.4,2021.0,1 hrs 47 min,Time to Dance,4.0,Sad,Emotional,Sad
Ahaan,Nikhil Pherwani,"Arif Zakaria,Abuli Mamaji,Niharika Singh,Plabita Borthakur,Rajit Kapur,Willl Finds,Way Films","Comedy,Drama",hi,"Jilted by his wife, a man with OCD finds eye-opening common ground and camaraderie with his neighbour, a young man with Down Syndrome.",0.905,2021.0,1 hrs 21 min,Ahaan,6.0,Thrilling,Happy,Thrilling
